App,Ver,Date,Notes
RTO Vehicle Information App,4.4.2,19 Dec 2022,- FasTag- Buy Car- CarInfo Store- Quiz
RTO Vehicle Information App,4.3.0,24 Jul 2022,Few under the hood changes to make your experience better than ever before!!
RTO Vehicle Information App,4.2.0,17 Jun 2022,Few under the hood changes to make your experience better than ever before!!
RTO Vehicle Information App,4.1.0,6 Apr 2022,Now make your search experience easy and quick by using auto complete feature on search vehicle page.
RTO Vehicle Information App,4.0.3,28 Mar 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!"
RTO Vehicle Information App,4.0.2,21 Mar 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!"
RTO Vehicle Information App,4.0.1,3 Mar 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!
"
RTO Vehicle Information App,4.0.0,28 Feb 2022,"Hola! We missed you a lot and are back with a bunch of surprises.

Check Details: Know your vehicle better with vehicle specifications, loan, challan information, insurance, resale value, ownership, and more.

My Vehicle: Sometimes, forgetting stuff is illegal! We have got you covered with Insurance and PUC renewal notifications.

Buy Insurance and Accessories: We keep bringing exciting offers on insurance and accessories to help you save some money for that extra cup of coffee or beer, maybe!

Buy FASTag: Planning a trip? Get FASTag delivered to your doorstep.

Daily Fuel Prices: We understand your pain! Get daily updates on fuel prices to plan your finances better.

Useful Tips and News: Knowledge is power! Keep getting Tips to maintain your vehicle and stay updated with the automobile world.

Do let us know which is your favourite feature!
"
RTO Vehicle Information App,3.2.1,9 Aug 2021,"Our developers and product managers are calling it a completely upgraded version of owner detail, but we know you will only remember it for saving you time. Lots and lots of it."
RTO Vehicle Information App,3.2.0,4 Aug 2021,"Our developers and product managers are calling it a completely upgraded version of owner detail, but we know you will only remember it for saving you time. Lots and lots of it."
RTO Vehicle Information App,3.1.1,25 Mar 2021,Few under the hood changes to make your experience better than ever before!
RTO Vehicle Information App,3.1.0,7 Mar 2021,Few under the hood changes to make your experience better than ever before!!
RTO Vehicle Information App,3.0.0,20 Jan 2021,"If there is one thing the pandemic has taught us, it’s not taking things for granted.Remember to always care & always be prepared. We’ll overcome this together :)"
RTO Vehicle Information App,2.9.0,31 Dec 2020,"If there is one thing the pandemic has taught us, it’s not taking things for granted.Remember to always care & always be prepared. We’ll overcome this together :)"
RTO Vehicle Information App,2.8.2,21 Sept 2020,"Dear humans, we have killed all the bugs and made the app faster, stronger, and better. Keeping up with the car and auto industry news is now more fun!"
RTO Vehicle Information App,2.8.1,1 May 2020,"We have added insurance, pollution and finance information to the vehicle details!"
RTO Vehicle Information App,2.8.0,24 Apr 2020,"There's no place like home. It's the only place where everyone can stay safe. Avoid leaving the house and avoid contact with people outside your household. Also, avoid bugs by updating CarInfo."
RTO Vehicle Information App,2.7.0,18 Mar 2020,"We may not have broken a sweat this session, but we’ve been maintaining a steady pace to keep things ticking over nicely for you."
RTO Vehicle Information App,2.6.0,26 Jul 2019,"This release was dedicated, mainly towards adding a little bit of polish and shine to our existing features!"
RTO Vehicle Information App,2.5.2,6 Dec 2018,Fixed what needed fixing and squished some bugs.
RTO Vehicle Information App,2.5.1,19 Nov 2018,We always strive to give you the best possible experience possible on Car Info. This updates adds support for the latest XS and XS Max. Do let us you if you have any feedback or suggestions using the feedback menu in the app :)
RTO Vehicle Information App,2.5.0,26 Sept 2018,Killed little nasty bugs and fixed all the glitches affecting iOS 12!
RTO Vehicle Information App,2.4.0,27 Jun 2018,Your garage is getting a full revamp.
RTO Vehicle Information App,2.3.5,3 Jun 2018,Boring Update with bug fixes & stability improvements.
RTO Vehicle Information App,2.3.4,29 May 2018,We have been trying hard to fix a persistent issue occurring to small set of our users. Please contact us on cuvora@gmail.com for your feedback and suggestions.
RTO Vehicle Information App,4.0.0,28 Feb 2022,
