App,Ver,Date,Notes
KeyConnect Digital Car Key,1.8.0,"Nov 17, 2022",App improvements
KeyConnect Digital Car Key,1.7.1,"Sep 22, 2022",App improvements
KeyConnect Digital Car Key,1.7.0,"Aug 22, 2022",App Improvements!
KeyConnect Digital Car Key,1.6.0,"May 4, 2022","KeyConnect now supports Apple Watch along with the following new features & improvements:
- Customize theme and icon
- Upload vehicle photos
- Optimize walkthrough tutorials
- Optimize app performance
- Minor bug-fixes
"
KeyConnect Digital Car Key,1.4.0,"Jan 9, 2022",Minor bug fixes & improvements
KeyConnect Digital Car Key,1.3.0,"Nov 5, 2021",Minor bug fixes & improvements
KeyConnect Digital Car Key,1.2.0,"Apr 29, 2021","Thank you for using KeyConnect. In this new version, you will be able to share digital car keys with your friends or family members."
KeyConnect Digital Car Key,1.1.0,"Oct 3, 2020",- Update new app icon. - Support widget for iOS 14
KeyConnect Digital Car Key,1.0.4,"Sep 7, 2020",Minor bug fixes & improvements
KeyConnect Digital Car Key,1.0.3,"Aug 20, 2020",Minor bug fixes & improvements
KeyConnect Digital Car Key,1.0.2,"Jun 23, 2020",Minor bug fixes & improvements
KeyConnect Digital Car Key,1.0.1,"Mar 4, 2020",- fixed minor bugs
KeyConnect Digital Car Key,1.0.0,"Jan 17, 2020",
