App,Ver,Date,Notes
ARI (Auto Repair Software),10.2.0,"Dec 22, 2022","- Square payments
You can now process online payments via Square!
- SMS marketing
Send mass SMS campaigns to all your contacts
- Grid views for Service Reminders, Accounting, Tires, Services
- Select multiple Parts and Services when creating invoices
- Detail views for Clients, Vehicles, and JobCards
- you can Expand each item and see relating data.
- Set default measurement unit (miles, KM, hours) in ARI Settings
- Expose tech names on Activities
- add description to inspection Photos
- new employee role restrition. Allow Clock In only for themselves!
- Set clients as Tax Extempt and skip taxes automatically
-
- Bug fixes
- Wisetack phone error fixed
- missing Vendors and Inspection issues fixed
- Print jobcards issues fixed
- Custom template in inspection not clearing values fixed
- Assign inspection to JobCard fixed
"
ARI (Auto Repair Software),10.1.0,"Nov 12, 2022","Biggest update for 2022 - Oct- migration to faster servers with real-time sync between devices- Labor guides using ProDemand- SMS functionality for web- advanced vehicle lookup. - menu shortcut
- appointment/ working hours setup per day
- add your own image to appointment page
- new PID decoder
- Inventory auto-adjust basd on item ID
- mass editing option for Parts in Inventory
- parts markup matrix
- bug fixes"
ARI (Auto Repair Software),10.0.5,"Nov 5, 2022","Biggest update for 2022 - Oct- migration to faster servers with real-time sync between devices- Labor guides using ProDemand- SMS functionality for web- advanced vehicle lookup - menu shortcut
- appointment/ working hours setup per day
- add your own image to appointment page
- new PID decoder
- Inventory auto-adjust basd on item ID
- mass editing option for Parts in Inventory
- parts markup matrix"
ARI (Auto Repair Software),9.9.9,"Sep 4, 2022",Carfax vehicle history fixcurrency list updateWisetack additions
ARI (Auto Repair Software),9.9.8,"Jul 18, 2022",Integration with Wisetack for offering financing options to your clients!Do you have vehicle owners who can't afford the cost of your repair services?Activate financing options for them so they pay later while you get paid now!
ARI (Auto Repair Software),9.9.7,"May 17, 2022","- Complete redesign of the Online Appointment page and setup- drag and drop functionality for Calendar- support for blocking-service page redesigned- add custom fields to your online booking form. - auto-confirm appointment
-Inspection ID auto increments when new inspection added.
-Update inventory when delete part from existing Invoice
-Print long invoices on multiple pages.
- Attach Inspection to JobCard from the Jobcard/More menu
- Create JobCard from Appointments
"
ARI (Auto Repair Software),9.9.6,"Apr 26, 2022",Fixed the SMS functionality;
ARI (Auto Repair Software),9.9.5,"Apr 21, 2022",- POS terminal integration for processing on-site payments- online payment processing for auto repair invoices
ARI (Auto Repair Software),9.9.3,"Feb 10, 2022",- 360Payments integration for online invoice payments- multi-language support- bug fixes
ARI (Auto Repair Software),9.9.0,"Jan 6, 2022","- POS terminal integration (you can now process in-person payments)- Mark invoice as Paid button-  Hide Parts Price if role not view_invoices- Vendors and Warehouse inputs in Invoice/Parts- Add appointments to your calendar. - Create duplicate invoice option
- Add source to customers (eg. Apple, Facebook, etc.)
- Better Inspection Checklist reordering
- Create an Invoice from appointment
- Add vehicle to Parts as in Suitable For
- Standard service reminders intervals
- Added company info to Inspection
- add Inspection damage templates
- GridView for Payments
- ... many bug fixes and improvements!
"
