App,Ver,Date,Notes
CarWebGuru Car Launcher,2.60,"Feb 21, 2023",Bug fixes and improvements.
CarWebGuru Car Launcher,2.59,"Feb 7, 2023",Bug fixes and improvements.
CarWebGuru Car Launcher,2.58,"Jan 30, 2023",Bug fixes and improvements.
CarWebGuru Car Launcher,2.57,"Jan 17, 2023",Bug fixes and improvements.
CarWebGuru Car Launcher,2.56,"Dec 21, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.55,"Dec 7, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.54,"Nov 19, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.53,"Nov 11, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.52,"Nov 4, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.51,"Oct 24, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.50,"Oct 4, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.49,"Sep 22, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.48,"Sep 10, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.47,"Sep 8, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.46,"Sep 3, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.45,"Aug 24, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.44,"Jul 29, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.43,"Jul 5, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.42,"Jul 1, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.41,"Jun 16, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.40,"Jun 2, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.39,"May 25, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.38,"May 7, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.37,"May 5, 2022",Bug fixes and improvements.
CarWebGuru Car Launcher,2.36,"May 3, 2022",Bug fixes and improvements.
