App,Ver,Date,Notes
CarWale: Buy-Sell New/Used Car,7.0.5,17 Nov 2021,- Bug fixes and improvements
CarWale: Buy-Sell New/Used Car,7.0.4,17 Aug 2021,- Enhancements in compare cars and used car valuation- Bug fixes and improvements
CarWale: Buy-Sell New/Used Car,7.0.2,9 Jul 2021,- Performance improvements and bug fixes
CarWale: Buy-Sell New/Used Car,7.0.1,18 Jun 2021,-Bug fixes and performance improvements
CarWale: Buy-Sell New/Used Car,7.0.0,7 Jun 2021,-Bug fixes and performance improvements
CarWale: Buy-Sell New/Used Car,6.9.0,28 May 2021,- Started showing upcoming cars for brands like Tesla in brand list screen- Introduced Recently Added Used Cars- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.8.1,7 Apr 2021,"- Improve our make, model and version selection list- Fixed known bugs and performance enhancements"
CarWale: Buy-Sell New/Used Car,6.7.1,3 Mar 2021,"- Introducing EMI CalculatorKnow your car loan EMI on the basis of loan amount, tenure, down payment and interest rate- Fixed Known Bugs and Performance Enhancements"
CarWale: Buy-Sell New/Used Car,6.7,28 Feb 2021,"- Introducing EMI CalculatorKnow your car loan EMI on the basis of loan amount, tenure, down payment and interest rate- Fixed Known Bugs and Performance Enhancements"
CarWale: Buy-Sell New/Used Car,6.6,22 Feb 2021,"- Introducing EMI CalculatorKnow your car loan EMI on the basis of loan amount, tenure, down payment and interest rate- Fixed Known Bugs and Performance Enhancements"
CarWale: Buy-Sell New/Used Car,6.5.1,5 Feb 2021,"- Added the option to sort cars on the basis of various options like price, kms travelled, etc in Used Car Filter- Get instant loan approval from banks to buy the best used cars in your city- Our new Make Offer feature allows you to negotiate or make an offer on the car price with the seller which you deem fit- Fixed known bugs and performance enhancements"
CarWale: Buy-Sell New/Used Car,6.5,1 Feb 2021,"- Added the option to sort cars on the basis of various options like price, kms travelled, etc in Used Car Filter- Get instant loan approval from banks to buy the best used cars in your city- Our new Make Offer feature allows you to negotiate or make an offer on the car price with the seller which you deem fit- Fixed known bugs and performance enhancements"
CarWale: Buy-Sell New/Used Car,6.4.3,2 Dec 2020,"- Enhanced the experience of our Compare Cars Screen- Improved the logic for the valuation of used cars to provide more accurate prices for you- Upcoming Cars Screen Revamped- Introduced a new section, Based On Your Searches which recommends you cars on the basis of your recent searches"
CarWale: Buy-Sell New/Used Car,6.4.2,29 Nov 2020,- Bug fixes and performance enhancements
CarWale: Buy-Sell New/Used Car,6.4,26 Nov 2020,"- Enhanced the experience of our Compare Cars Screen- Improved the logic for the valuation of used cars to provide more accurate prices for you- Upcoming Cars Screen Revamped- Introduced a new section, Based On Your Searches which recommends you cars on the basis of your recent searches"
CarWale: Buy-Sell New/Used Car,6.3.6,6 Nov 2020,- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.3.5,5 Nov 2020,- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.3.4,19 Oct 2020,- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.3.3,1 Oct 2020,- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.3.2,25 Sept 2020,- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.3.1,4 Sept 2020,- Search Option Revamped- Introduced Similar Cars Linkage on Used Car List Screen- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.3,24 Aug 2020,- Search Option Revamped- Introduced Similar Cars Linkage on Used Car List Screen- Bug Fixes and Performance Enhancements
CarWale: Buy-Sell New/Used Car,6.2,30 Mar 2020,"To improve your car buying journey, we have introduced two new features:1) Car Loan - Get instant loan approval from banks2) Car Insurance - Provide protection to your car by getting the most attractive car insurance offersBug fixes and performance enhancements"
CarWale: Buy-Sell New/Used Car,6.1,27 Feb 2020,-Bug fixes and performance enhancements
CarWale: Buy-Sell New/Used Car,6.0,16 Dec 2019,-Bug fixes and performance enhancements
