App,Ver,Date,Notes
AutoZen-Car Dashboard&Launcher,1.73.0,6 Feb 2023,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.72.0,4 Feb 2023,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.71.0,18 Jan 2023,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.70.2,21 Dec 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.70.1,19 Dec 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.70.0,15 Dec 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.69.0,7 Dec 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.68.0,21 Nov 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.67.1,9 Nov 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.67.0,8 Nov 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.66.0,28 Oct 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.65.2,14 Oct 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.65.1,11 Oct 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.65.0,7 Oct 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.64.0,30 Sept 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.63.0,19 Sept 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.62.0,2 Sept 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.61.0,24 Aug 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.60.0,19 Aug 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.59.1,8 Aug 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.58.0,21 Jul 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.57.2,19 Jul 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.57.1,11 Jul 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.57.0,8 Jul 2022,Certain minor bugs won't disturb your ZEN anymore
AutoZen-Car Dashboard&Launcher,1.56.0,1 Jul 2022,Certain minor bugs won't disturb your ZEN anymore
