App,Ver,Date,Notes
My Car - Car Management,1.3.4,"Oct 9, 2022","Thanks for using myCarLog!In this release of the application:● We've updated the app to support iOS16 & new iPhone's● Fixed Dropbox authentication. ● Fixed a number of noticed problems and improved performance.

If you like myCarLog, take a moment of your time and leave a review on the App Store.
It will help us make the app even better!"
My Car - Car Management,1.3.3,"May 1, 2022","Thanks for using myCarLog!In this release of the application:● Added translation of the app into Polish● Problem with connection to Dropbox fixed. ● A number of noticed problems have been fixed and performance has been improved.

If you like myCarLog take a moment of your time and leave a review in the App Store.
It will help us make the app even better!
"
My Car - Car Management,1.3.2,"Sep 15, 2021","Thanks again for choosing myCarLog.With this release:● Now you can set maintenance period for different car individually● Added notifications for maintenance items. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it. Thanks for using myCarLog!
"
My Car - Car Management,1.3.1,"Sep 14, 2021","Thanks again for choosing myCarLog.With this release:● Now you can set maintenance period for different car individually● Added notifications for maintenance items. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it. Thanks for using myCarLog!
"
My Car - Car Management,1.3.0,"Apr 25, 2021","Thanks again for choosing myCarLog.With this release:● Update backup system. Added daily autobackup function.● Bug fixes and performance improvements. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it. Thanks for using myCarLog!
"
My Car - Car Management,1.2.6,"Nov 3, 2020","Thanks again for choosing myCarLog.With this release:● Fixes for camera issue on iPad● Bug fixes and performance improvements. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it. Thanks for using myCarLog!
"
My Car - Car Management,1.2.5,"Nov 2, 2020","Thanks again for choosing myCarLog.With this release:● Fixes for interface issue on iPad● Bug fixes and performance improvements. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it.
"
My Car - Car Management,1.2.4,"Oct 30, 2020","Thanks again for choosing myCarLog.With this release:● Fix bug with remove photos on create backup● Bug fixes and performance improvements. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it.
"
My Car - Car Management,1.2.3,"Jul 17, 2020","Thanks again for choosing myCarLog.With this release:● New option for switch theme in the app● Bug fixes and performance improvements. ● Bug fixes and performance improvements.

If you like myCarLog, would you mind taking a moment to write a nice review on the App Store?
We'd greatly appreciate it.
"
My Car - Car Management,1.2.2,"Jun 29, 2020","Thanks again for choosing myCarLog.With this release:● Fixed attach image to new records● Bug fixes and performance improvements. If you like myCarLog, would you mind taking a moment to write a nice review on the App Store? We'd greatly appreciate it.
Thanks for using myCarLog!
"
My Car - Car Management,1.2.1,"Jun 26, 2020","Thanks again for choosing myCarLog.With this release:● Now you can attach up to 5 images to any records● Bug fixes and performance improvements. If you like myCarLog, would you mind taking a moment to write a nice review on the App Store? We'd greatly appreciate it.
Thanks for using myCarLog!"
