App,Ver,Date,Notes
Cars Catalog: all about auto,9.5.0,"Feb 21, 2023",Get access to price history graphs for all vehicle listings with price changes so that you can negotiate the best deal on your car.
Cars Catalog: all about auto,9.4.0,"Jan 23, 2023",Search improvements
Cars Catalog: all about auto,9.3.1,"Jan 5, 2023",Bug fix for search loading screen
Cars Catalog: all about auto,9.3.0,"Dec 15, 2022","Now available! Vehicle History powered by CARFAX and AutoCheck. Easily access and view the history of a car including clean title, accidents reported, personal use only and single owner information."
Cars Catalog: all about auto,9.2.0,"Nov 18, 2022",Search improvements and bug fixes
Cars Catalog: all about auto,9.1.1,"Nov 3, 2022",Bug fix on Home screen
Cars Catalog: all about auto,9.1.0,"Oct 21, 2022",Bug Fixes and Improvements
Cars Catalog: all about auto,9.0.1,"Oct 14, 2022",Bug fix for searching by Condition
Cars Catalog: all about auto,9.0.0,"Oct 10, 2022","New search and filter experience to help you find your dream ride faster. This includes easier filter selection, cleaner display of your selected filters, and more ways to get to your search results."
Cars Catalog: all about auto,8.11.0,"Sep 23, 2022",Pre-qualify for your auto loan before walking into the dealership. Get personalized terms and monthly payment offers in minutes without impacting your credit score.
Cars Catalog: all about auto,8.10.2,"Sep 2, 2022",Bug fix for crash
Cars Catalog: all about auto,8.10.1,"Sep 1, 2022",Bug fix for startup crash with poor network
Cars Catalog: all about auto,8.10.0,"Sep 1, 2022",App improvements and bug fixes.
Cars Catalog: all about auto,8.9.0,"Aug 9, 2022","Financing in advance is now available. Get real-time, personalized decisions from trusted lenders and have your financing ready to go before you get the dealership."
Cars Catalog: all about auto,8.8.3,"Jul 22, 2022",Minor bug fix
Cars Catalog: all about auto,8.8.2,"Jul 13, 2022",Get an Instant Offer on your vehicle! Sell or trade-in your car quickly with an instant offer from local dealers.
Cars Catalog: all about auto,8.8.1,"Jul 5, 2022",Bug fixes and enhancements
Cars Catalog: all about auto,8.8.0,"Jun 16, 2022",User setting improvements
Cars Catalog: all about auto,8.7.3,"May 19, 2022",Bug fixes and performance improvements
Cars Catalog: all about auto,8.7.2,"May 4, 2022",Bug fixes and enhancements
Cars Catalog: all about auto,8.7.1,"Apr 27, 2022",Bug fixes and enhancements
Cars Catalog: all about auto,8.7.0,"Apr 13, 2022",We now offer a wide variety of vehicles from individual sellers in your area. We've also made researching a vehicle easier than ever. Come checkout our new inventory!
Cars Catalog: all about auto,8.6.2,"Mar 29, 2022","We now have a new Autocheck report, in addition to CarFax which provides more insight into the history of vehicles you are interested in. Check it out and shop with more confidence."
Cars Catalog: all about auto,8.6.1,"Mar 19, 2022","We now have a new Autocheck report, in addition to CarFax which provides more insight into the history of vehicles you are interested in. Check it out and shop with more confidence."
Cars Catalog: all about auto,8.6.0,"Mar 17, 2022","We now have a new Autocheck report, in addition to CarFax which provides more insight into the history of vehicles you are interested in. Check it out and shop with more confidence."
